server_017,baseline,spp ,ppf,ipcp l1d,ipcp ,bingo
DRAM,0.07179125695,0.1057897229,0.2010081025,0.07579166859,0.09191834457,0.07610424214
TLBs,0.0001858155108,0.0001857735847,0.0001856397344,0.0001915957874,0.000191797492,0.0001861694773
Prefetcher,0,0.000235368144,0.001838102801,1.320198208E-05,2.040417897E-05,0.0008978148007
server_028,baseline,spp ,ppf,ipcp l1d,ipcp ,bingo
L1I,0.02835355503,0.02840588294,0.02838229913,0.02840171129,0.02837586676,0.02843395353
L1D,0.9395110537,0.9398390978,0.9376147765,0.9616367524,0.9602325956,0.9401923543
L2C,0.01416752198,0.02308690137,0.03272359225,0.01507178172,0.02160451207,0.01635504156
LLC,0.001902446325,0.0110755204,0.01719618052,0.002884252455,0.006266702404,0.002483773845
Interconnect,0.0001902446325,0.00110755204,0.001719618052,0.0002884252455,0.0006266702404,0.0002483773845
DRAM,0.01565664521,0.03211312962,0.05296604569,0.03019673634,0.03405831517,0.02337589882
TLBs,0.0002185331253,0.0002188494199,0.0002181779815,0.0002528356018,0.000252559546,0.0002192139777
Prefetcher,0,0.0005184250289,0.003657276557,2.539702076E-05,4.079459361E-05,0.0009224877775
omnetpp,baseline,spp ,ppf,ipcp l1d,ipcp ,bingo
L1I,0.01361058277,0.01361055408,0.01361064875,0.01361059377,0.01361065879,0.01361064684
L1D,0.7746480821,0.775165562,0.7754161614,0.7881121254,0.7884966793,0.7759736061
L2C,0.002315658447,0.002760699838,0.003413148923,0.003230568408,0.003670178332,0.0044712273
LLC,0.0030244104,0.00415038586,0.004811117602,0.004397677076,0.004956436689,0.006096532315
Interconnect,0.00030244104,0.000415038586,0.0004811117602,0.0004397677076,0.0004956436689,0.0006096532315
DRAM,0.2059739667,0.2434231975,0.276942734,0.2641266116,0.2853670161,0.3155698558
TLBs,0.0001248585463,0.0001249072323,0.0001249387401,0.0001643230592,0.0001643697791,0.0001249802751
Prefetcher,0,3.478431489E-05,0.0001810125956,2.925874003E-05,2.793902897E-05,0.0007959956978
mcf-994B,baseline,spp ,ppf,ipcp l1d,ipcp ,bingo
L1I,0.01454070076,0.01454030095,0.01454192552,0.0145405979,0.01454044588,0.01454008002
L1D,0.6912592884,0.6912143704,0.6913116191,0.7487174218,0.7487282667,0.6912087679
L2C,0.003580939054,0.005110629492,0.007040603017,0.007918950616,0.008264681428,0.00555405774
LLC,0.004325077948,0.007555542794,0.009778664853,0.01203322158,0.01204158184,0.006443621972
Interconnect,0.0004325077948,0.0007555542794,0.0009778664853,0.001203322158,0.001204158184,0.0006443621972
DRAM,0.2857436759,0.3943521549,0.5345501402,0.6556909177,0.6562190652,0.3767329132
TLBs,0.0001178101312,0.0001178103844,0.0001178295218,0.0002459102315,0.0002458974074,0.0001178082405
Prefetcher,0,8.569033015E-05,0.0005014414713,5.969509646E-05,6.596949761E-05,0.001932656075
end:,,,,,,
