77.5089,47.4438
345.676,336.903
289.954,174.797
347.903,163.049
186.157,56.6923
186.047,56.6591
288.638,266.007
115.719,85.9547
35.9426,69.7581
349.855,341.392
267.579,82.3106
142.469,139.829
274.312,175.835
297.184,225.134
25.7621,54.5609
105.619,136.563
31.8502,39.203
61.7901,127.335
79.5879,151.997
86.0976,152.857
308.769,239.026
308.564,225.597
312.801,237.384
302.944,230.07
50.0133,63.2272
49.9588,67.6626
190.725,242.937
261.974,189.393
216.759,57.3582
297.322,272.581
329,328.096
42.5447,88.9088
31.8624,32.67
349.624,343.604
335.127,337.624
328.676,316.423
335.615,338.104
57.8606,181.643
340.062,329.068
296.339,312.047
41.592,198.431
196.564,189.171
321.529,311.435
330.938,315.157
35.3087,39.2181
94.9786,71.3878
62.5262,36.9568
139.431,37.8421
55.9526,27.3387
73.4248,37.7571
80.7119,83.1974
114.557,64.2144
78.4513,45.3998
127.57,82.1291
61.4044,36.3485
143.494,45.6719
153.898,62.6642
134.656,63.8378
62.9582,43.775
70.0044,64.5256
70.0678,62.3395
114.98,59.5838
44.3539,27.6178
201.907,109.865
204.735,108.932
201.549,112.619
202.874,109.019
206.034,107.955
205.335,106.617
48.7019,27.3023
49.7995,27.0628
50.5329,26.3919
46.7352,26.3566
46.2602,26.7267
47.0476,33.5663
47.1894,35.2656
44.3935,32.1535
47.429,34.9534
42.4321,34.0517
58.2747,55.673
55.1065,53.8053
62.6737,63.2149
65.7334,66.1633
65.8035,67.2489
114.968,69.9246
96.4601,93.4896
101.306,83.8326
191.338,141.385
64.1164,53.2895
